fips,State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Alabama,13288,17039,28937,25141,24751,25921,26907,28865,30394,29297,28937
2,Alaska,3954,4355,5789,4911,4861,5166,6018,5739,5462,5774,5789
4,Arizona,16780,21259,32397,24849,24759,26001,26860,29248,30441,30560,32397
5,Arkansas,7864,8507,15589,9953,14134,14353,15415,16046,16607,15438,15589
6,California,121762,130095,176026,141388,148261,146308,149884,166211,167379,167139,176026
8,Colorado,14138,15432,21863,17186,19144,19993,19447,21808,21631,20386,21863
9,Connecticut,9551,11039,13269,11454,12503,12127,12649,13649,12988,12691,13269
10,Delaware,2954,3392,4473,3479,3868,4718,4464,4508,4438,5213,4473
11,District of Columbia,3477,3657,5264,6004,6876,6543,5571,6582,6771,6392,5264
12,Florida,42554,43372,84039,57549,70799,72816,74680,75947,77637,79988,84039
13,Georgia,34067,33110,51607,42635,42205,39587,44828,53807,51977,50622,51607
15,Hawaii,5307,5489,6419,5659,5982,6025,6015,6001,6340,6640,6419
16,Idaho,2774,2778,5442,3690,4181,3819,4197,4692,4550,5413,5442
17,Illinois,47183,50558,66424,55469,59164,60524,60555,64811,67552,63707,66424
18,Indiana,18297,19966,28507,20608,22085,21652,22795,27746,29483,28015,28507
19,Iowa,6951,7390,11804,8643,9372,9406,10542,10705,11377,10953,11804
20,Kansas,7493,7419,11116,8180,9208,10510,9601,10598,11135,11012,11116
21,Kentucky,6460,8326,17598,8789,12130,13268,16347,16567,17217,17075,17598
22,Louisiana,21565,16978,28952,19092,22486,27560,27222,30958,27353,28739,28952
23,Maine,2113,2250,3528,2539,2608,2431,2582,3093,3410,3435,3528
24,Maryland,19949,18280,27399,23137,24644,23667,26163,27201,26488,26703,27399
25,Massachusetts,13230,14396,21197,16128,17485,19276,21055,22744,23512,23192,21197
26,Michigan,41246,38604,44193,37186,44726,45535,49357,49462,47472,44739,44193
27,Minnesota,11602,12189,19898,13413,14351,14197,15294,16902,17998,18741,19898
28,Mississippi,18863,21268,19596,21686,21253,23589,21417,21216,23052,17464,19596
29,Missouri,21319,22371,27981,23308,24817,25868,26049,27887,27835,27328,27981
30,Montana,2601,2395,4192,2740,3092,2985,3082,3406,3827,3817,4192
31,Nebraska,5203,5091,7467,5118,5564,5433,5109,6770,6721,7141,7467
32,Nevada,6678,7317,11825,9504,9670,10043,9665,10505,11136,11773,11825
33,New Hampshire,1736,1842,3582,2055,2109,2102,2462,3010,3072,3119,3582
34,New Jersey,17436,19149,29828,21524,22391,23957,26002,26117,27189,28247,29828
35,New Mexico,9027,8454,11543,9459,9258,9487,11704,11363,11894,12242,11543
36,New York,59006,63938,98748,80635,88336,92053,99917,102592,100484,95727,98748
37,North Carolina,28967,31183,47132,30603,37349,40800,41866,54577,50494,48400,47132
38,North Dakota,1807,1665,3451,1788,1920,1951,2399,2444,2908,2932,3451
39,Ohio,38566,42451,54858,46995,45868,47702,50956,52645,53141,53121,54858
40,Oklahoma,10366,13407,20657,12529,14723,14980,14294,14200,16839,18278,20657
41,Oregon,8690,9018,15498,9849,10744,11497,12351,13643,13453,14175,15498
42,Pennsylvania,38022,37259,50485,42445,42231,43035,47472,52827,54957,52017,50485
44,Rhode Island,3438,3264,4349,3174,3315,3615,3480,4146,4313,4312,4349
45,South Carolina,18381,18266,27957,26342,26215,26542,26495,28863,27085,25535,27957
46,South Dakota,2532,2698,4166,2619,2952,3002,3183,3405,3924,3927,4166
47,Tennessee,22515,23072,30790,26866,28038,29710,28307,31105,32486,30368,30790
48,Texas,70089,71806,131069,85653,100814,105853,119813,124859,126937,128903,131069
49,Utah,3857,4602,8222,5721,6021,6145,6688,7086,7615,7535,8222
50,Vermont,1137,957,2235,1057,1190,1186,1257,1483,1724,1842,2235
51,Virginia,21602,22628,35998,24569,31157,30832,30745,36212,34917,33279,35998
53,Washington,17635,18616,26577,18784,21348,21386,21345,23280,24596,24950,26577
54,West Virginia,2754,2943,4719,3167,3315,3604,3876,4295,4790,5138,4719
55,Wisconsin,19203,20439,23140,19528,20936,20778,23230,24605,23726,23562,23140
56,Wyoming,1082,1173,1971,1197,1574,1963,2113,2091,2102,2004,1971
