State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,8199,9386,10661,10881,9733,7490,7862,8928,9221,8348,7653
Alaska,567,600,630,579,578,990,1273,984,726,1128,1341
Arizona,4061,4948,5944,5060,3446,3250,3249,4562,5808,6412,7750
Arkansas,4136,4475,4304,4165,4513,4460,4767,4683,4305,4003,4534
California,30060,34175,33544,31165,25650,23135,26319,27409,33476,38107,45319
Colorado,3054,3224,3695,3376,3755,2821,2787,2363,2822,2820,3170
Connecticut,2862,2750,2610,2327,2799,2558,2569,2449,2131,2859,2327
Delaware,894,913,1485,1293,1045,971,1010,827,899,1390,1279
District of Columbia,2562,2142,1880,2361,2642,2561,2101,2569,2392,2472,1869
Florida,18580,20225,23973,23320,23274,20844,20146,19674,19462,20767,20914
Georgia,15715,15704,19512,17735,16152,13621,15718,16273,15222,14135,13689
Hawaii,1193,1024,885,659,610,631,759,685,815,718,1019
Idaho,102,117,205,264,187,109,146,162,167,211,443
Illinois,20597,20018,20186,20813,20673,19958,15748,17013,18120,16446,15945
Indiana,6820,8069,8701,8764,8749,6816,6482,6557,7327,7143,7284
Iowa,1247,1606,1966,1928,1700,1658,1803,1920,2006,1472,1641
Kansas,2542,2605,2210,2282,2274,2505,2084,2209,2228,2161,2568
Kentucky,2753,2929,3270,3446,4541,3822,4341,4509,4276,4297,4338
Louisiana,10479,9505,10791,11023,9410,8974,8364,9002,8873,8669,9002
Maine,210,142,137,118,96,143,161,272,456,245,235
Maryland,8296,7030,7311,6767,6658,6379,7405,6453,5684,5986,6097
Massachusetts,3055,2536,2426,2694,2126,1972,2483,2352,2627,3100,3805
Michigan,17376,17629,15638,15431,16923,14540,13605,12880,12566,10559,9680
Minnesota,2957,3482,3303,3459,3037,2303,2119,2284,3071,3872,4062
Mississippi,7163,7171,7511,8314,7492,7241,6195,5814,6873,5096,5624
Missouri,9218,9455,10204,9876,8014,6488,7159,7802,7889,7546,7387
Montana,87,158,194,122,121,80,102,85,108,224,434
Nebraska,1144,1155,1417,1430,1459,1374,1187,1351,1425,1368,1456
Nevada,3075,2878,2790,2357,2172,1726,1728,2000,2262,2712,3186
New Hampshire,133,177,180,138,100,113,151,130,147,121,226
New Jersey,6696,5722,5486,6073,5296,4761,5842,7316,7471,6998,6626
New Mexico,1306,1552,1733,1796,1402,1082,1229,1839,1882,1918,2245
New York,18705,17711,17455,17687,17100,16999,18319,20693,22550,19864,20701
North Carolina,15194,15072,17312,16666,15899,13770,14026,17376,14273,13660,14411
North Dakota,110,128,153,116,143,150,204,250,334,492,694
Ohio,20190,20627,19001,20935,16477,15834,16455,16726,16493,16619,16237
Oklahoma,4453,5228,4951,4827,5176,4666,4366,4103,4441,5303,6136
Oregon,1302,1562,1461,1236,1225,1113,1076,1489,1464,1729,2318
Pennsylvania,11236,11221,11466,12703,11070,10134,12883,13765,15385,13865,12707
Rhode Island,816,438,508,401,307,322,291,360,507,454,590
South Carolina,9143,8526,10305,10305,9416,8293,7961,8332,7612,7183,8216
South Dakota,304,351,367,260,375,343,467,601,705,784,892
Tennessee,8475,8604,9694,9564,8780,7925,7119,7667,9089,7375,7197
Texas,24335,26096,30431,32011,32179,29286,31770,30924,32437,33616,35288
Utah,603,727,888,821,477,341,310,277,479,951,1441
Vermont,86,60,72,64,37,50,57,48,99,97,84
Virginia,8554,8341,6474,6264,10324,7779,7394,6507,6879,6950,8240
Washington,2810,3739,4231,3653,3122,2283,2862,2737,3238,4369,6221
West Virginia,891,770,953,930,746,475,579,796,831,1063,841
Wisconsin,5040,5864,6917,6739,6076,5174,5090,4787,4704,4595,4073
Wyoming,59,87,120,81,124,74,40,46,44,66,116
Puerto Rico,267,326,302,323,273,230,312,341,345,356,454
